date,tmax,tmin,tmed
03/1895,14.5,9,11.75
04/1895,17.6,11.8,14.7
05/1895,21.9,13.9,17.9
06/1895,24.7,16.2,20.45
07/1895,25.5,17.6,21.55
08/1895,27.7,18.1,22.9
09/1895,24.7,17.8,21.25
10/1895,21.2,15.6,18.4
11/1895,18.5,13.7,16.1
12/1895,15.2,10.4,12.8
01/1896,13.6,6.9,10.25
02/1896,15.6,7.6,11.6
03/1896,17.9,10.2,14.05
04/1896,22.5,12.9,17.7
05/1896,22.1,14.3,18.2
06/1896,23.8,15.9,19.85
07/1896,26.4,17.8,22.1
08/1896,26.8,17.5,22.15
09/1896,24.9,16.4,20.65
10/1896,18.2,11.4,14.8
11/1896,14.7,9,11.85
12/1896,13.9,9.3,11.6
01/1897,11.8,7.1,9.45
02/1897,16.2,9.6,12.9
03/1897,18.3,11.5,14.9
04/1897,18.1,11.5,14.8
05/1897,20.7,13.7,17.2
06/1897,26.2,17.1,21.65
07/1897,27.9,18.3,23.1
08/1897,26.4,17.8,22.1
09/1897,24.8,16.1,20.45
10/1897,22.2,15.6,18.9
11/1897,17.9,12.5,15.2
12/1897,14.8,10.2,12.5
01/1898,13.8,7.9,10.85
02/1898,15.9,8.5,12.2
03/1898,15.4,8.4,11.9
04/1898,17.6,10.9,14.25
05/1898,20.2,13,16.6
06/1898,23.5,15.4,19.45
07/1898,27.4,18.7,23.05
08/1898,28.8,18.9,23.85
09/1898,26,18.5,22.25
10/1898,21.1,15.3,18.2
11/1898,16.1,10.9,13.5
12/1898,13.9,7.4,10.65
01/1899,13.7,8.7,11.2
02/1899,15.3,10.7,13
03/1899,17.2,10.5,13.85
04/1899,21.3,12.7,17
05/1899,21.8,14.4,18.1
06/1899,24,15.9,19.95
07/1899,28.1,19,23.55
08/1899,27.8,19.9,23.85
09/1899,25.9,17.8,21.85
10/1899,22.9,17.7,20.3
11/1899,18,12.2,15.1
12/1899,14.7,9.5,12.1
01/1900,13.5,7.7,10.6
02/1900,14.6,10.2,12.4
03/1900,14.4,8.1,11.25
04/1900,19.6,12.8,16.2
05/1900,19.9,13.2,16.55
06/1900,23.5,15.2,19.35
07/1900,28,18.6,23.3
08/1900,25.7,17.6,21.65
09/1900,25,17.8,21.4
10/1900,20.9,14.3,17.6
11/1900,16.4,11.1,13.75
12/1900,14.5,9.4,11.95
01/1901,13.4,7.8,10.6
02/1901,12,5.9,8.95
03/1901,14.7,9,11.85
04/1901,18.6,11.9,15.25
05/1901,21,13.9,17.45
06/1901,24.9,16.1,20.5
07/1901,27.4,17.4,22.4
08/1901,27.2,18.6,22.9
09/1901,22.6,16.5,19.55
10/1901,18.9,13.3,16.1
11/1901,15.4,8.8,12.1
12/1901,12.8,7.6,10.2
01/1902,13.3,7.6,10.45
02/1902,14,9.9,11.95
03/1902,17.4,10.6,14
04/1902,17.2,12,14.6
05/1902,20.6,12.4,16.5
06/1902,21.8,14.5,18.15
07/1902,24.7,17.4,21.05
08/1902,26.1,17.2,21.65
09/1902,24.1,16.4,20.25
10/1902,20.3,13.5,16.9
11/1902,16.9,11.9,14.4
12/1902,13.6,8.8,11.2
01/1903,13,7.6,10.3
02/1903,15.7,8.8,12.25
03/1903,16,10.6,13.3
04/1903,20.1,12.5,16.3
05/1903,19,12.9,15.95
06/1903,22.6,15.6,19.1
07/1903,25.7,18,21.85
08/1903,27.8,18.6,23.2
09/1903,22.9,16,19.45
10/1903,20.3,14.1,17.2
11/1903,17.4,11.2,14.3
12/1903,12.5,8,10.25
01/1904,12.9,8.4,10.65
02/1904,13.4,9.5,11.45
03/1904,14.4,8.9,11.65
04/1904,20.1,11.7,15.9
05/1904,22.1,13.9,18
06/1904,23.4,15.9,19.65
07/1904,25.3,17.2,21.25
08/1904,27,18.6,22.8
09/1904,22.7,16.1,19.4
10/1904,22.9,15.6,19.25
11/1904,16.9,11,13.95
12/1904,14.8,10.6,12.7
01/1905,12.7,7,9.85
02/1905,13.3,7.2,10.25
03/1905,16.2,11,13.6
04/1905,19.2,12.8,16
05/1905,21.4,13.8,17.6
06/1905,21.9,15.3,18.6
07/1905,26.5,18.2,22.35
08/1905,25.8,17.6,21.7
09/1905,23.4,16.2,19.8
10/1905,20.8,13.7,17.25
11/1905,14.7,10.4,12.55
12/1905,14.1,8.7,11.4
01/1906,13.7,8.8,11.25
02/1906,12.9,8,10.45
03/1906,15.7,9.3,12.5
04/1906,17.3,10.9,14.1
05/1906,20.6,13.4,17
06/1906,25,17.1,21.05
07/1906,26.4,18,22.2
08/1906,28.2,18.8,23.5
09/1906,24.6,18.2,21.4
10/1906,20.9,14.9,17.9
11/1906,16.4,10.6,13.5
12/1906,13.6,8,10.8
01/1907,12.7,6.3,9.5
02/1907,13.1,7.4,10.25
03/1907,18.5,10.3,14.4
04/1907,18,11.5,14.75
05/1907,19,12.6,15.8
06/1907,23.3,15.8,19.55
07/1907,24.7,16.8,20.75
08/1907,28.6,18.5,23.55
09/1907,26.1,18.1,22.1
10/1907,18.3,13.8,16.05
11/1907,15.5,11.2,13.35
12/1907,14.6,11.1,12.85
01/1908,13.2,8.8,11
02/1908,15.1,8.6,11.85
03/1908,15,8.9,11.95
04/1908,16.2,10.5,13.35
05/1908,22.4,14.6,18.5
06/1908,22.8,15.9,19.35
07/1908,26.4,17.2,21.8
08/1908,26.2,18.1,22.15
09/1908,24.9,16.7,20.8
10/1908,21.3,15.5,18.4
11/1908,17.3,12.5,14.9
12/1908,14.4,10.4,12.4
01/1909,12.4,7.5,9.95
02/1909,13.4,7.6,10.5
03/1909,14,9.4,11.7
04/1909,19.9,12.7,16.3
05/1909,21.8,14.8,18.3
06/1909,21.1,14.7,17.9
07/1909,27.3,17.9,22.6
08/1909,26.3,17.6,21.95
09/1909,23.2,16,19.6
10/1909,21.6,15,18.3
11/1909,16,11.4,13.7
12/1909,14.8,11,12.9
01/1910,13.1,7.6,10.35
02/1910,15,10,12.5
03/1910,15.4,8.6,12
04/1910,18,11,14.5
05/1910,19.4,12,15.7
06/1910,23,15.1,19.05
07/1910,24.9,16.9,20.9
08/1910,26.8,17.4,22.1
09/1910,25.3,17.8,21.55
10/1910,20.7,14.7,17.7
11/1910,16.5,11.5,14
12/1910,14.5,10.1,12.3
01/1911,11.8,4.9,8.35
02/1911,15.3,8,11.65
03/1911,14.3,9.2,11.75
04/1911,16.6,9.6,13.1
05/1911,19.9,12.8,16.35
06/1911,21.3,14.6,17.95
07/1911,27.4,19,23.2
08/1911,27.2,18.2,22.7
09/1911,27.2,19,23.1
10/1911,19.4,14,16.7
11/1911,15.8,10.8,13.3
12/1911,14.8,10.7,12.75
01/1912,13.4,8.5,10.95
02/1912,15.6,10.8,13.2
03/1912,17,11.1,14.05
04/1912,19.3,11.5,15.4
05/1912,22.6,14.5,18.55
06/1912,22.5,14.4,18.45
07/1912,22.4,15.3,18.85
08/1912,23.7,15.7,19.7
09/1912,24.7,17.4,21.05
10/1912,20.2,14,17.1
11/1912,16.8,10.5,13.65
12/1912,13.1,7.1,10.1
01/1913,14.4,10.2,12.3
02/1913,14,8.2,11.1
03/1913,16,10,13
04/1913,16.5,10.7,13.6
05/1913,20.6,13.4,17
06/1913,26.4,16.5,21.45
07/1913,26.4,17.3,21.85
08/1913,25.3,17.5,21.4
09/1913,22.8,16.2,19.5
10/1913,19.7,14,16.85
11/1913,17,11.8,14.4
12/1913,12.8,7.7,10.25
01/1914,12.5,6.8,9.65
02/1914,14.4,9.6,12
03/1914,15.8,10.2,13
04/1914,18.6,11.7,15.15
05/1914,21.3,13.4,17.35
06/1914,22,14.8,18.4
07/1914,25.1,16.4,20.75
08/1914,27,17.4,22.2
09/1914,26.6,18.2,22.4
10/1914,21.3,14.5,17.9
11/1914,16,11,13.5
12/1914,14.2,10,12.1
01/1915,12.5,8.2,10.35
02/1915,13.5,8.9,11.2
03/1915,16.3,10.8,13.55
04/1915,17.4,10.5,13.95
05/1915,20.5,14.2,17.35
06/1915,24.1,16.5,20.3
07/1915,26.6,17.7,22.15
08/1915,27.8,18.6,23.2
09/1915,25.3,17.5,21.4
10/1915,20.6,14.1,17.35
11/1915,16.4,11.5,13.95
12/1915,15.2,11.3,13.25
01/1916,13.8,8,10.9
02/1916,13.8,8.8,11.3
03/1916,13.6,8.9,11.25
04/1916,18.3,10.7,14.5
05/1916,20.8,13.7,17.25
06/1916,23.7,15.1,19.4
07/1916,25.1,16.9,21
08/1916,26.6,18.4,22.5
09/1916,26.1,17.5,21.8
10/1916,22.5,15,18.75
11/1916,16.4,11.4,13.9
12/1916,14.6,10.1,12.35
01/1917,12.7,7.7,10.2
02/1917,13.2,8,10.6
03/1917,14.6,8.7,11.65
04/1917,17.8,10.4,14.1
05/1917,19.8,13.9,16.85
06/1917,24.2,15.7,19.95
07/1917,27.7,17.8,22.75
08/1917,25.6,16.6,21.1
09/1917,27.4,17.4,22.4
10/1917,20.7,13.2,16.95
11/1917,18,10.5,14.25
12/1917,11.9,5.8,8.85
01/1918,14,9.5,11.75
02/1918,15.9,9.3,12.6
03/1918,15.7,9.9,12.8
04/1918,16.5,10.5,13.5
05/1918,21.7,13.9,17.8
06/1918,25.9,17.2,21.55
07/1918,26.8,18.3,22.55
08/1918,28.5,19.1,23.8
09/1918,22.8,16.7,19.75
10/1918,19.1,12.1,15.6
11/1918,16.3,11.3,13.8
12/1918,13.9,9.2,11.55
01/1919,13.4,8.8,11.1
02/1919,14.8,11.2,13
03/1919,15.2,10.1,12.65
04/1919,18,10.6,14.3
05/1919,20.9,13.3,17.1
06/1919,26.8,17.2,22
07/1919,25.1,17.1,21.1
08/1919,29.7,19.2,24.45
09/1919,25.5,17.9,21.7
10/1919,19.9,13.7,16.8
11/1919,15.4,10.1,12.75
12/1919,13.8,9.2,11.5
01/1920,13.4,8.7,11.05
02/1920,15.2,9.3,12.25
03/1920,16.8,9.8,13.3
04/1920,18.8,12.6,15.7
05/1920,22,14.7,18.35
06/1920,24.4,16.8,20.6
07/1920,25.5,16.5,21
08/1920,27,17.4,22.2
09/1920,25.8,17.3,21.55
10/1920,19,14.3,16.65
11/1920,16.7,11.5,14.1
12/1920,14,9.6,11.8
01/1921,14.2,8.7,11.45
02/1921,14.2,8.4,11.3
03/1921,17,9.5,13.25
04/1921,18.9,11.4,15.15
05/1921,20.8,13.2,17
06/1921,23.6,15.6,19.6
07/1921,27.9,18.8,23.35
08/1921,27.6,18.1,22.85
09/1921,24.6,17.2,20.9
10/1921,22.6,16.4,19.5
11/1921,17.4,11.8,14.6
12/1921,13.9,8.2,11.05
01/1922,13.8,8.6,11.2
02/1922,14.5,9.2,11.85
03/1922,14.3,8.9,11.6
04/1922,16.9,11,13.95
05/1922,24.6,15.4,20
06/1922,24.6,16,20.3
07/1922,26.1,16.6,21.35
08/1922,27.6,18.2,22.9
09/1922,25,16.6,20.8
10/1922,21.4,15.2,18.3
11/1922,17,11.4,14.2
12/1922,13.7,7.7,10.7
01/1923,12.5,6.6,9.55
02/1923,14.7,9.8,12.25
03/1923,17.5,10.8,14.15
04/1923,16,10,13
05/1923,19.9,12.8,16.35
06/1923,26.1,16.3,21.2
07/1923,27.5,18.2,22.85
08/1923,29.5,18.6,24.05
09/1923,25.3,16.8,21.05
10/1923,22.4,15.6,19
11/1923,15.4,10.6,13
12/1923,13.1,7.6,10.35
01/1924,13.8,8.7,11.25
02/1924,12.4,6.2,9.3
03/1924,15.4,11.3,13.35
04/1924,18.8,12,15.4
05/1924,21.7,14.2,17.95
06/1924,24.8,16.2,20.5
07/1924,26.7,17.6,22.15
08/1924,25.9,17.3,21.6
09/1924,23.2,16.4,19.8
10/1924,20.9,14.7,17.8
11/1924,16.1,10.9,13.5
12/1924,14.5,9.8,12.15
01/1925,14,8.4,11.2
02/1925,13.4,8.2,10.8
03/1925,14.9,7.8,11.35
04/1925,17.1,10.8,13.95
05/1925,19.3,12.5,15.9
06/1925,23.5,16.5,20
07/1925,25.5,16.8,21.15
08/1925,27.5,18.2,22.85
09/1925,26,17.1,21.55
10/1925,21.6,15.3,18.45
11/1925,15.4,10.4,12.9
12/1925,15,11.4,13.2
01/1926,14.5,9.5,12
02/1926,17.3,11.3,14.3
03/1926,18,11.4,14.7
04/1926,17.5,11.6,14.55
05/1926,19.6,12.4,16
06/1926,23.6,15.5,19.55
07/1926,27.5,18.6,23.05
08/1926,29.4,20.1,24.75
09/1926,29.2,20.1,24.65
10/1926,23.5,16.4,19.95
11/1926,16.7,12,14.35
12/1926,13.1,7.9,10.5
01/1927,13.7,8.9,11.3
02/1927,14.5,8.9,11.7
03/1927,15.4,10.1,12.75
04/1927,20.4,12,16.2
05/1927,21.6,14.8,18.2
06/1927,25.3,16.8,21.05
07/1927,24.4,16.9,20.65
08/1927,26.6,17.5,22.05
09/1927,24,15.7,19.85
10/1927,22.5,14.8,18.65
11/1927,16.4,10.6,13.5
12/1927,13.9,10,11.95
01/1928,12.9,8.1,10.5
02/1928,15.4,9.4,12.4
03/1928,15.1,10.2,12.65
04/1928,16.3,10.7,13.5
05/1928,18.2,11.8,15
06/1928,24.3,15.6,19.95
07/1928,29.8,19.7,24.75
08/1928,27.1,17.9,22.5
09/1928,25.4,17.7,21.55
10/1928,20.7,14.6,17.65
11/1928,15.8,10.1,12.95
12/1928,13.1,7.3,10.2
01/1929,12.5,7.5,10
02/1929,14.8,9.3,12.05
03/1929,18.2,10.6,14.4
04/1929,19.7,12.1,15.9
05/1929,19.6,12,15.8
06/1929,24.2,16.1,20.15
07/1929,27.1,17.4,22.25
08/1929,28,18.1,23.05
09/1929,25.4,18,21.7
10/1929,21.6,14.8,18.2
11/1929,17,11.9,14.45
12/1929,15.5,10.8,13.15
01/1930,13.7,8.7,11.2
02/1930,13,6.8,9.9
03/1930,17.1,10.3,13.7
04/1930,15.3,10.2,12.75
05/1930,21,13.1,17.05
06/1930,22.2,15.2,18.7
07/1930,25.2,17.8,21.5
08/1930,28.2,18.8,23.5
09/1930,25.8,17.2,21.5
10/1930,21.9,15.3,18.6
11/1930,17.8,12,14.9
