date,tmax,tmin,tmed
08/2010,31.36,19.72,25.54
09/2010,27.08,17.53,22.3
10/2010,22.12,14.37,18.24
11/2010,17.66,11.17,14.41
12/2010,15.17,8.73,11.95
01/2011,14.48,8.81,11.64
02/2011,17.42,9.08,13.25
03/2011,18.28,10.47,14.37
04/2011,24.2,15.2,19.7
05/2011,25.63,16.7,21.16
06/2011,26.92,16.97,21.94
07/2011,26.84,17.45,22.15
08/2011,27.79,18.29,23.04
09/2011,27.47,17.91,22.69
10/2011,26.26,16.93,21.6
11/2011,18.11,11.75,14.93
12/2011,16.01,9.18,12.6
01/2012,15.72,8.11,11.91
02/2012,15.84,6.62,11.23
03/2012,20.82,11.28,16.05
04/2012,17.98,10.92,14.45
05/2012,24.39,15.04,19.71
06/2012,26.41,17.06,21.73
07/2012,27.93,17.56,22.75
08/2012,28.65,18.5,23.57
09/2012,28,18.69,23.34
10/2012,22.51,14.76,18.64
11/2012,16.93,11.01,13.97
12/2012,15.98,9.81,12.9
01/2013,15.57,9.81,12.69
02/2013,15.1,8.56,11.83
03/2013,16.55,10.42,13.49
04/2013,19.97,12,15.98
05/2013,22.38,12.73,17.55
06/2013,26.35,16.42,21.38
07/2013,29.55,18.73,24.14
08/2013,30.25,19.09,24.67
09/2013,27.32,18.44,22.88
10/2013,22.45,16.44,19.44
11/2013,17.03,11.16,14.09
12/2013,14.83,8.1,11.46
01/2014,15.2,10.38,12.79
02/2014,15.34,9.33,12.34
03/2014,17.7,10.45,14.07
04/2014,20.06,12.77,16.42
05/2014,23.41,14.65,19.03
06/2014,24.55,15.44,20
07/2014,26.49,16.03,21.26
08/2014,26.72,16.36,21.54
09/2014,24.24,16.6,20.42
10/2014,23.2,15.8,19.5
11/2014,17.39,11.46,14.43
12/2014,15.41,8.65,12.03
01/2015,14.75,7.57,11.16
02/2015,14.86,8.05,11.46
03/2015,19.06,10.14,14.6
04/2015,21.83,13.06,17.44
05/2015,25.96,15.83,20.9
06/2015,29.02,17.37,23.19
07/2015,29.26,18.33,23.8
08/2015,29.26,18.31,23.79
09/2015,26.22,16.34,21.28
10/2015,22.25,15.74,18.99
11/2015,19.91,12.94,16.43
12/2015,17.22,10.56,13.89
01/2016,16.94,10.49,13.71
02/2016,16.39,9.61,13
03/2016,17.71,9.53,13.62
04/2016,19.57,11.3,15.44
05/2016,22.01,13.34,17.67
06/2016,27.56,16.88,22.22
07/2016,31.12,19.2,25.16
08/2016,31.78,19.26,25.52
09/2016,28.89,17.72,23.31
10/2016,23.66,15.54,19.6
11/2016,18.55,11.78,15.16
12/2016,16.98,8.79,12.88
01/2017,16,7.47,11.74
02/2017,16.7,10.08,13.39
03/2017,18.83,10.75,14.79
04/2017,23.75,13.59,18.67
05/2017,24.89,15.49,20.19
06/2017,28.64,18.05,23.35
07/2017,28.39,18.03,23.21
08/2017,29.47,18.21,23.84
09/2017,26.98,16.67,21.83
10/2017,26.5,16.71,21.6
11/2017,19.21,11.89,15.55
12/2017,15.92,8.85,12.39
01/2018,16.01,8.99,12.5
02/2018,15.77,8.45,12.11
03/2018,16.55,9.85,13.2
04/2018,19.76,11.54,15.65
05/2018,22.89,13.82,18.35
06/2018,25.37,16.61,20.99
07/2018,26.79,18.05,22.42
08/2018,32.13,19.91,26.02
09/2018,30.15,19.57,24.86
10/2018,23.8,15.58,19.69
11/2018,18.11,11.56,14.84
12/2018,16.83,9.9,13.37
